Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes	
 -9.  -9.    102461.8	 -9. 1600.0	 VJ 18.78  0.10	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    102980.2	 -9. 480.0	 RC 18.74  0.07	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    103014.7	 -9. 480.0	 IC 18.39  0.11	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    104483.5	 -9. 480.0	 BJ 19.28  0.19	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    104483.5	 -9. 480.0	 RC 18.82  0.08	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    104483.5	 -9. 480.0	 IC 18.29  0.10	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    104500.8	 -9. 480.0	 VJ 18.70  0.23	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    144305.3	 -9. 663.2	 u  19.67  0.10	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    149895.4	 -9. 735.0	 u  19.74  0.09	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    154189.4	 -9. 2168.5	 v  19.82  0.09	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    155675.5	 -9. 737.0	 u  19.71  0.09	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    161438.4	 -9. 742.9	 u  19.78  0.10	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    167132.2	 -9. 577.3	 u  19.79  0.11	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    168272.6	 -9. 341.3	 u  19.73  0.14	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    193043.5	 -9. 1329.2	 u  20.13  0.08	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    205882.6	 -9. 1730.2	 u  20.01  0.07	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.    206928.0	 -9. 1131.6	 v  20.07  0.14	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
