time	flux	flux_err	band
1602.9	4.760442110751453e-12	2.9723245154084294e-13	R
1614.6	4.546186921951868e-12	2.8385478754648103e-13	R
1626.3	5.124450333722525e-12	2.755049963809324e-13	R
1638.1	4.760442110751453e-12	2.9723245154084294e-13	R
1648.6	5.3167628366852175e-12	3.3196800117369407e-13	R
1659.2	4.546186921951868e-12	2.8385478754648103e-13	R
1672.1	4.341574805131651e-12	2.710792176135878e-13	R
1686.1	4.262332134405387e-12	2.661314642876062e-13	R
1700.2	4.262332134405387e-12	2.661314642876062e-13	R
1714.3	4.146171750558182e-12	2.588786430454667e-13	R
1728.4	4.301771008066036e-12	2.6859394840808084e-13	R
1743.6	4.070495587518063e-12	2.1884139743297695e-13	R
1758.9	4.262332134405387e-12	2.661314642876062e-13	R
1772.9	4.262332134405387e-12	2.661314642876062e-13	R
1788.2	3.781353578340337e-12	2.361001285352155e-13	R
1804.6	3.9232617877832155e-12	2.449605923335638e-13	R
1821.0	3.996200670117781e-12	2.4951474976360257e-13	R
1837.4	4.108159419465019e-12	2.2086631195228763e-13	R
1856.2	3.851654190085086e-12	2.070758626963116e-13	R
1873.8	4.262332134405387e-12	2.661314642876062e-13	R
1890.2	3.7123360973668835e-12	2.317908155362022e-13	R
1907.8	3.781353578340337e-12	2.361001285352155e-13	R
1926.6	3.3856907601308064e-12	2.1139573623215512e-13	R
1946.5	3.7123360973668835e-12	2.317908155362022e-13	R
1965.3	3.4805452818306812e-12	2.1731826220110137e-13	R
1981.7	4.070495587518063e-12	2.5415357530169164e-13	R
1998.1	3.678301195449652e-12	2.2966574456601523e-13	R
2019.2	3.5452534498051215e-12	1.9060288913923172e-13	R
2357.1	2.9217784953657328e-12	1.3150169429458894e-13	R
2418.1	2.790276801071144e-12	1.500132014007592e-13	R
2478.9	2.6402635996703846e-12	1.4194806586084443e-13	R
2537.7	2.664693657970554e-12	1.432614951430604e-13	R
2598.6	2.6402635996703846e-12	1.4194806586084443e-13	R
2657.4	2.739348509907978e-12	1.4727515190103814e-13	R
2718.3	2.5447626873802217e-12	1.368136657239738e-13	R
2779.2	2.452716136332391e-12	1.3186498185314962e-13	R
2838.0	2.452716136332391e-12	1.3186498185314962e-13	R
2898.4	2.3423257258125722e-12	1.259300800256086e-13	R
2974.0	2.2995734631992847e-12	1.2363159702948341e-13	R
3035.0	2.2995734631992847e-12	1.2363159702948341e-13	R
3095.8	2.257601517319244e-12	1.213750660759757e-13	R
3154.6	2.1559927112306198e-12	1.1591228823041802e-13	R
3215.5	2.175941866169792e-12	1.1698481142829717e-13	R
3274.2	2.0972359243329557e-12	1.1275335657777518e-13	R
3335.2	2.136226451243264e-12	1.1484959798431618e-13	R
3396.1	2.3208511544792315e-12	1.247755461122754e-13	R
3454.8	2.136226451243264e-12	1.1484959798431618e-13	R
3515.2	2.0400804230001973e-12	1.2737852732193532e-13	R
3649.5	2.058957054741495e-12	1.1069537588882544e-13	R
3740.9	1.8266161296418916e-12	9.820406822457335e-14	R
3830.1	1.9482616788526694e-12	1.2164554921077786e-13	R
3920.4	1.7605456407685367e-12	9.46519311927954e-14	R
